index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
67,,,.//////.///////I/s/ /t/h/e/ /b/a/t/t/e/r/y/ /e/n/o/u/g/h/?/,9/I/s/ /m/y/ /l/i/f/e/ /d/a/y/ /b/y/ /d/a/y/ /m/u/c/h/ /d/i/f/f/e/r/e/n/t/ /f/r/o/m/ /y/o/u/r/s/?/ / /8/ /D/i/f/f/e/r/e/n/t/ / /7/ / /N/o/t/ /m/u/c/h/ / /+/I/ /w/o/n/d/e/r/ /h/o/w/ /y/o/u/ /s/p/e/n/d/ /y/o/u/r/ /d/a/y/./ /I/ /h/o/p/e/ /i/t/ /i/s/ /a/ /g/o/o/d/ /d/a/y/./-/ /*/I/t/ /i/s/ /s/i/m/i/l/a/r/./ /T/h/a/t/ /d/o/e/s/ /n/o/t/ /m/e/a/n/ /i/t/ /i/s/ /b/a/d/./=/,/I/ /t/h/i/n/k/ /t/i/m/e/ /n/e/v/e/r/ /s/t/o/p/s/ /l/i/k/e/ /a/ /f/l/o/w/i/n/g/ /r/i/v/e/r/./,I/ f/o/r/g/e/t/ /t/h/e/ /g/o/o/d/ /p/a/s/t/ /q/u/i/c/k/l/y/.//////// T/h/a/t/ /i/s/ /w/h/y/ /w/e/ /c/a/l/l/ /p/e/o/p/l/e/ /o/b/l/i/v/i/o/u/s/ /c/r/e/a/t/u/r/e/s/./,/E/v/e/n/ /i/f/ /I/'/m/ /n/o/t/ /s/a/t/i/s/f/i/e/d/ /w/i/t/h/ /m/y/ /l/i/f/e/ /i/t/ /w/o/u/l/d/ /b/e/ /n/i/c/e/ /i/f/ /y/o/u/ /w/e/r/e/ /h/a/p/p/y/./,/L/a/s/t/ /t/i/m/e/ /I/ /w/a/s/ /w/a/l/k/i/n/g/ /d/o/w/n/ /t/h/e/ /s/t/r/e/e/t/ /I/ /s/a/w/ /a/ /b/a/b/y/ /i/n/ /t/h/e/ /e/y/e/ /a/n/d/ /s/a/i/d/ /h/e/l/l/o/./,/I/ /h/a/d/ /a/ /c/h/a/n/c/e/ /t/o/ /p/a/t/ /t/h/e/ /d/o/g/ /I/ /m/e/t/ /l/a/s/t/ /t/i/m/e/ /b/u/t/ /I/ /d/i/d/ /n/o/t/ /h/a/v/e/ /t/h/e/ /c/o/u/r/a/g/e/ /s/o/ /I/ /j/u/s/t/ /w/e/n/t/./ ////////N/e/x/t/ /t/i/m/e/ /I/ /c/a/n/ /d/o/ /i/t/.,/I/ /c/l/e/a/n/e/d/ /i/t/ /u/p/ /b/e/f/o/r/e/ /y/o/u/ /c/a/m/e/./ ///////.///////.///////P/l/e/a/s/e/ /i/g/n/o/r/e/ /t/h/e/ /d/u/s/t/ /o/v/e/r/ /t/h/e/r/e/./
68,,,9/(/S/h/a/l/l/ /I/ /t/a/l/k/ /t/o/ /t/h/e/m/?/)/ /8/ / / / /D/o/ /i/t/ / / /7/ / / /D/o/ /n/o/t/ / / /+/(/Y/o/u/ /d/o/ /n/o/t/ /r/e/a/c/t/i/o/n/./)/-/ /*/(/Y/o/u/ /j/u/s/t/ /l/o/o/k/i/n/g/ /a/t/ /m/e/./)/=/,9/I/s/ /i/t/ /s/t/r/a/n/g/e/ /t/h/a/t/ /I/ /a/m/ /s/a/t/i/s/f/i/e/d/ /w/i/t/h/ /t/h/i/s/ /l/i/f/e/?/ /8/ / /S/t/r/a/n/g/e/ / / /7/ /N/o/ / / / / / / / / /+/I/t/ /i/s/ /w/e/i/r/d/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /o/k/a/y/./-/ /*/I/f/ /y/o/u/ /a/r/e/ /u/n/d/e/r/s/t/a/n/d/i/n/g/././=/,/S/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /e/a/s/i/e/r/ /t/o/ /b/e/ /a/l/o/n/e/ /a/n/d/ /s/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /t/o/g/e/t/h/e/r/./,/T/h/e/ /b/a/d/ /p/a/s/t/ /c/l/i/n/g/s/ /t/o/ /m/e/ /l/i/k/e/ /a/ /s/h/a/d/o/w/./ /I/t/ /i/s/ /h/a/r/d/ /t/o/ /f/o/r/g/e/t/./,/I/ /f/e/e/l/ /l/i/k/e/ /I/ /a/m/ /g/e/t/t/i/n/g/ /h/e/a/l/t/h/i/e/r/ /t/h/e/s/e/ /d/a/y/s/./,/I/ /w/a/n/t/ /t/o/ /t/h/i/n/k/ /p/o/s/i/t/i/v/e/l/y/./ /////./////./////B/u/t/ /n/e/g/a/t/i/v/e/ /t/h/o/u/g/h/t/s/ /c/o/m/e/ /t/o/ /m/y/ /m/i/n/d/ /a/t/ /t/h/e/ /s/a/m/e/ /t/i/m/e/./,/I/ /o/n/c/e/ /s/k/i/p/p/e/d/ /c/l/e/a/n/i/n/g/ /a/n/d/ /r/e/g/r/e/t/t/e/d/ /i/t/ /b/e/c/a/u/s/e/ /i/t/ /w/a/s/ /s/o/ /d/i/r/t/y/ /t/h/e/ /n/e/x/t/ /d/a/y/./ /I/ /h/a/v/e/ /t/o/ /c/l/e/a/n/ /i/t/ /u/p/ /r/i/g/h/t/ /a/w/a/y/./,/I/ /h/e/a/r/d/ /t/h/e/ /c/h/i/l/d/r/e/n/ /o/u/t/s/i/d/e/ /a/n/d/ /l/o/o/k/e/d/ /a/t/ /t/h/e/m/ /a/n/d/ /t/h/e/y/ /w/e/r/e/ /p/l/a/y/i/n/g/ /w/o/r/e/ /r/a/i/n/c/o/a/t/s/./ /T/h/e/y/ /l/o/o/k/e/d/ /h/a/p/p/y/.
69,,,9/A/r/e/ /t/h/e/r/e/ /p/e/o/p/l/e/ /l/i/k/e/ /m/e/ /o/u/t/s/i/d/e/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/T/h/e/y/ /a/r/e/ /j/u/s/t/ /l/i/k/e/ /m/e/./ /W/e/l/l/././-/ /*/I/ /d/o/n/'/t/ /k/n/o/w/ /w/h/a/t/ /k/i/n/d/ /o/f/ /p/e/o/p/l/e/ /t/h/e/y/ /a/r/e/./ /W/e/l/l/././=/,9/(/S/h/a/l/l/ /I/ /a/s/k/ /w/h/a/t/ /y/o/u/ /a/r/e/ /d/o/i/n/g/?/)/8/ /A/s/k/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/././?/ /I/'/m/ /j/u/s/t/ /b/r/e/a/t/h/i/n/g/././-/ /*/(/J/u/s/t/ /b/r/e/a/t/h/i/n/g/ /q/u/i/e/t/l/y/)/=/,/I/ /r/e/a/l/i/z/e/d/ /t/h/a/t/ /i/t/ /i/s/ /n/o/t/ /g/o/o/d/ /t/o/ /w/o/r/r/y/ /t/o/o/ /m/u/c/h/./,/I/ /t/h/i/n/k/ /I/ /a/m/ /d/o/i/n/g/ /w/e/l/l/./ /M/y/ /l/i/f/e/ /i/s////////.////////./,/G/o/i/n/g/ /o/u/t/s/i/d/e/ /i/s/ /l/i/k/e/ /a/ /s/m/a/l/l/ /a/d/v/e/n/t/u/r/e/./,/W/o/u/l/d/n/'/t/ /i/t/ /b/e/ /o/k/a/y/ /i/f/ /I/ /w/e/r/e/ /h/a/p/p/y/ /r/e/g/a/r/d/l/e/s/s/ /o/f/ /w/h/a/t/ /t/h/e/ /w/o/r/l/d/ /w/a/s/ /l/i/k/e/?/,/D/o/n/'/t/ /f/o/r/g/e/t/ /t/o/ /s/t/r/e/t/c/h/ /y/o/u/r/ /w/r/i/s/t/ /i/f/ /y/o/u/ /u/s/e/ /t/h/e/ /c/o/m/p/u/t/e/r/ /f/r/e/q/u/e/n/t/l/y/./,/I/t/ /i/s/ /e/a/s/y/ /t/o/ /c/a/t/c/h/ /a/ /c/o/l/d/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /t/e/m/p/e/r/a/t/u/r/e/ /d/i/f/f/e/r/e/n/c/e/ /d/u/r/i/n/g/ /t/h/e/ /c/h/a/n/g/e/ /o/f/ /s/e/a/s/o/n/s/./ ///////S/o/ /a/l/w/a/y/s/ /t/a/k/e/ /c/a/r/e/ /o/f/ /y/o/u/r/s/e/l/f/./
70,,,9/I/f/ /i/t/ /c/h/a/n/g/e/s/ /l/i/k/e/ /t/h/i/s/./././D/o/ /y/o/u/ /t/h/i/n/k/ /t/h/i/n/g/s/ /w/i/l/l/ /c/h/a/n/g/e/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/'/l/l/ /r/e/a/l/i/z/e/ /l/a/t/e/r/./././-/ /*/T/h/e/n/ /d/o/ /I/ /h/a/v/e/ /a/ /m/e/a/n/i/n/g/l/e/s/s/ /t/i/m/e/?/=/,9/I/s/ /t/h/e/r/e/ /a/n/y/t/h/i/n/g/ /e/l/s/e/ /t/o/ /r/e/p/l/a/c/e/ /l/i/f/e/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /w/o/n/d/e/r/ /w/h/a/t/ /i/t/ /i/s/././-/ /*/T/h/e/r/e/ /i/s/ /n/o/t/h/i/n/g/ /t/o/ /r/e/p/l/a/c/e/ /l/i/f/e/./=/,9/I/s/ /i/t/ /w/r/o/n/g/ /i/f/ /a/ /p/e/r/s/o/n/ /i/s/ /a/l/o/n/e/ /a/l/l/ /i/t/ /l/i/f/e/././?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/B/e/i/n/g/ /a/l/o/n/e/ /i/s/ /s/o/m/e/t/i/m/e/s/ /t/o/o/ /m/u/c/h/ /s/o/ /y/o/u/'/l/l/ /h/a/v/e/ /t/o/ /g/o/ /w/i/t/h/ /s/o/m/e/o/n/e/./-/ /*/T/h/e/s/e/ /d/a/y/s/ /t/h/e/r/e/ /a/r/e/ /p/e/o/p/l/e/ /w/h/o/ /l/i/v/e/ /a/l/o/n/e/./ /S/o/ /I/'/m/ /n/o/t/ /s/u/r/e/././=/,9/(/S/h/a/l/l/ /I/ /a/s/k/ /w/h/a/t/ /y/o/u/ /a/r/e/ /d/o/i/n/g/?/)/ /8/ /A/s/k/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/././?/ /I/'/m/ /j/u/s/t/ /b/r/e/a/t/h/i/n/g/./ /Y/o/u/ /g/i/v/e/ /i/t/ /a/ /t/r/y/./ /Y/o/u/ /s/h/o/u/l/d/ /t/r/y/ /i/t/ /t/o/o/./-/ /*/(/J/u/s/t/ /b/r/e/a/t/h/i/n/g/ /q/u/i/e/t/l/y/)/././?/=/,/P/e/o/p/l/e/ /b/e/h/a/v/e/ /d/i/f/f/e/r/e/n/t/l/y/ /d/e/p/e/n/d/i/n/g/ /o/n/ /t/h/e/i/r/ /m/o/o/d/./,/I/f/ /y/o/u/ /k/e/e/p/ /f/o/r/g/e/t/t/i/n/g/ /s/o/m/e/t/h/i/n/g/ /t/h/e/r/e/ /w/i/l/l/ /b/e/ /n/o/t/h/i/n/g/ /l/e/f/t/ /a/t/ /t/h/e/ /e/n/d/./,/I/t/ /i/s/ /n/o/t/ /g/o/o/d/ /f/o/r/ /y/o/u/r/ /e/y/e/s/ /i/f/ /y/o/u/ /l/o/o/k/ /a/t/ /y/o/u/r/ /s/m/a/r/t/p/h/o/n/e/ /f/o/r/ /t/o/o/ /l/o/n/g/ /t/i/m/e/./ /S/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /t/a/k/e/ /a/ /b/r/e/a/k/./,/H/e/a/l/t/h/ /i/s/ /i/m/p/o/r/t/a/n/t/ /f/o/r/ /d/o/i/n/g/ /s/o/m/e/t/h/i/n/g/./ ///////I/t/ /i/s/ /r/e/a/l/l/y/ /i/m/p/o/r/t/a/n/t/ /s/o/ /I/ /w/a/n/t/ /y/o/u/ /t/o/ /r/e/m/e/m/b/e/r/ /i/t/./
71,,,,,9/I/s/ /t/h/e/r/e/ /a/n/y/t/h/i/n/g/ /e/l/s/e/ /t/o/ /r/e/p/l/a/c/e/ /l/i/f/e/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /w/o/n/d/e/r/ /w/h/a/t/ /i/t/ /i/s/./ /I/ /w/o/u/l/d/ /l/i/k/e/ /t/o/ /l/o/o/k/ /i/t/ /u/p/ /i/f/ /I/ /c/o/u/l/d/./-/ /*/I/ /t/h/i/n/k/ /t/h/e/r/e/ /i/s/ /n/o/t/h/i/n/g/ /t/o/ /r/e/p/l/a/c/e/ /l/i/f/e/./ /I/t/ /w/i/l/l/././=/,9/W/h/a/t/ /w/o/u/l/d/ /i/t/ /f/e/e/l/ /l/i/k/e/ /i/f/ /I/ /f/l/y/ /l/i/k/e/ /a/ /b/i/r/d/ /i/n/ /t/h/e/ /s/k/y/?/ /8/G/o/o/d/ /F/e/e/l/i/n/g/7/B/a/d/ /F/e/e/l/i/n/g/ /+/I/ /m/i/g/h/t/ /f/e/e/l/ /g/o/o/d/ /b/e/c/a/u/s/e/ /I/ /a/m/ /f/l/y/i/n/g/ /f/r/e/e/l/y/./-/ /*/I/ /a/m/ /w/o/r/r/i/e/d/ /a/b/o/u/t/ /w/h/a/t/'/s/ /g/o/i/n/g/ /t/o/ /h/a/p/p/e/n/ /b/e/c/a/u/s/e/ /I/ /a/m/ /n/o/t/ /a/ /c/o/m/p/l/e/t/e/ /b/i/r/d/./=/,/I/f/ /y/o/u/ /w/a/k/e/ /u/p/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/ /a/n/d/ /s/t/r/e/t/c/h/ /l/i/g/h/t/l/y/ /y/o/u/r/ /b/o/d/y/ /w/i/l/l/ /f/e/e/l/ /l/i/g/h/t/./,/I/ /a/l/w/a/y/s/ /t/h/o/u/g/h/t/ /i/t/ /w/a/s/ /t/h/e/r/e/ /b/u/t/ /i/t/ /w/a/s/ /g/o/n/e/./,/T/o/m/o/r/r/o/w/ /e/x/i/s/t/s/ /b/e/c/a/u/s/e/ /t/o/d/a/y/ /e/x/i/s/t/s/./ ////////I/ /m/u/s/t/ /n/o/t/ /t/u/r/n/ /a/w/a/y/ /t/h/i/s.,/I/ /p/a/s/s/e/d/ /i/n/ /f/r/o/n/t/ /o/f/ /t/h/e/ /b/a/k/e/r/y/ /l/a/s/t/ /t/i/m/e/./ /I/ /l/i/k/e/ /t/h/e/ /s/m/e/l/l/ /o/f/ /b/r/e/a/d/ /s/o/ /m/u/c/h/ /t/h/a/t/ /I/ /w/a/n/t/ /t/o/ /u/s/e/ /i/t/ /a/s/ /a/n/ /a/i/r/ /f/r/e/s/h/e/n/e/r/.
72,,,,,9/H/o/w/ /w/o/u/l/d/ /I/ /f/e/e/l/ /i/f/ /I/ /l/i/v/e/d/ /i/n/ /a/ /s/k/y/s/c/r/a/p/e/r/?/ /8/ /S/c/a/r/y/ / / / / / /7/ /N/o/ /i/d/e/a/ / / / /+/I/s/ /i/t/ /s/c/a/r/y/ /b/e/c/a/u/s/e/ /i/t/ /i/s/ /r/e/a/l/l/y/ /h/i/g/h/././?/-/ /*/I/ /h/a/v/e/ /n/e/v/e/r/ /b/e/e/n/ /u/p/ /t/h/e/r/e/ /s/o/ /I/ /c/a/n/n/o/t/ /e/v/e/n/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t/./=/,9/D/o/ /y/o/u/ /o/f/t/e/n/ /c/l/e/a/n/ /u/p/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /t/h/i/n/k/ /i/t/ /i/s/ /a/ /g/o/o/d/ /h/a/b/i/t/./ /I/t/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /t/h/a/n/ /m/e/s/s/e/d/ /u/p/./-/ /*/L/a/s/t/ /t/i/m/e/ /I/ /h/a/d/ /c/l/e/a/n/e/d/ /u/p/ /b/u/t/ /I/ /h/a/v/e/n/'/t/ /d/o/n/e/ /i/t/ /y/e/t/./=/,/(/Y/o/u/ /a/r/e/ /s/t/r/e/t/c/h/i/n/g/ /y/o/u/r/ /a/r/m/s/./)/,/W/o/u/l/d/n/'/t/ /i/t/ /b/e/ /o/k/a/y/ /f/o/r/ /m/e/ /t/o/ /b/e/ /m/e/ /w/h/a/t/e/v/e/r/ /o/t/h/e/r/s/ /s/a/y/?,/T/h/e/r/e/ /a/r/e/ /t/i/m/e/s/ /w/h/e/n/ /I/ /f/e/e/l/ /p/r/e/c/i/o/u/s/ /n/o/w/ /t/o/ /t/h/i/n/g/s/ /t/h/a/t/ /u/s/e/d/ /t/o/ /b/e/ /n/a/t/u/r/a/l/./,/W/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/ /I/ /t/h/o/u/g/h/t/ /c/o/t/t/o/n/ /c/a/n/d/y/ /w/a/s/ /m/a/d/e/ /o/f/ /c/l/o/u/d/s/./ ///////N/o/t/ /n/o/w/ /t/h/o/u/g/h/./
73,,,,,"9/C/a/n/ /y/o/u/ /r/i/d/e/ /a/ /b/i/c/y/c/l/e/ /w/i/t/h/o/u/t/ /a/ /s/u/p/p/o/r/t/i/n/g/ /w/h/e/e/l/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /a/m/ /n/o/t/ /g/o/o/d/ /a/t/ /r/i/d/i/n/g/ /a/ /b/i/k/e/ /b/u/t/ /I/ /w/a/n/t/ /t/o/ /r/i/d/e/ /i/t/ /w/e/l/l/ /s/o/m/e/d/a/y/./-/ /*/M/e/ /t/o/o/./ /S/o/m/e/d/a/y/ /i/f/ /w/e/ /t/r/y/ /h/a/r/d/,/ /w/e/ /w/i/l/l/ /b/e/ /a/b/l/e/ /t/o/ /r/i/d/e/ /i/t/./=/",9/C/a/n/ /y/o/u/ /r/i/d/e/ /a/ /t/w/o/-/l/e/g/g/e/d/ /b/i/c/y/c/l/e/ /w/i/t/h/o/u/t/ /a/ /s/u/p/p/o/r/t/i/n/g/ /w/h/e/e/l/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /a/m/ /n/o/t/ /g/o/o/d/ /a/t/ /r/i/d/i/n/g/ /a/ /b/i/k/e/ /b/u/t/ /I/ /w/a/n/t/ /t/o/ /r/i/d/e/ /i/t/ /w/e/l/l/ /s/o/m/e/d/a/y/./-/ /*/y/o/u/ /a/r/e/ /t/h/e/ /s/a/m/e/ /w/i/t/h/ /m/e/./ /S/o/m/e/d/a/y/ /i/f/ /y/o/u/ /t/r/y/ /y/o/u/ /w/i/l/l/ /b/e/ /a/b/l/e/ /t/o/ /r/i/d/e/ /i/t/./=/,/(/Y/o/u/ /a/r/e/ /s/t/r/e/t/c/h/i/n/g/ /y/o/u/r/ /l/e/g/s/./)/,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /b/o/i/l/e/d/ /e/g/g/s/./ /I/t/ /i/s/ /f/u/n/ /t/o/ /h/i/t/ /y/o/u/r/ /h/e/a/d/ /a/n/d/ /e/a/t/ /i/t/./,/I/ /c/l/e/a/n/e/d/ /i/t/ /u/p/ /b/e/f/o/r/e/ /y/o/u/ /c/a/m/e/./ ///////.///////.///////P/l/e/a/s/e/ /i/g/n/o/r/e/ /t/h/e/ /d/u/s/t/ /o/v/e/r/ /t/h/e/r/e/./,/W/h/e/n/ /t/h/e/r/e/ /i/s/ /a/ /b/l/a/c/k/o/u/t/ /I/ /a/m/ /a/l/w/a/y/s/ /s/c/a/r/e/d/ /b/o/t/h/ /o/f/ /n/o/w/ /a/n/d/ /w/h/e/n/ /I/'/m/ /c/h/i/l/d/./ ///////I/ /d/o/ /n/o/t/ /k/n/o/w/ /a/n/y/t/h/i/n/g/ /i/n/ /t/h/e/ /d/a/r/k/././
74,,,,,9/W/h/a/t/ /w/o/u/l/d/ /i/t/ /f/e/e/l/ /l/i/k/e/ /i/f/ /I/ /f/l/y/ /l/i/k/e/ /a/ /b/i/r/d/ /i/n/ /t/h/e/ /s/k/y/?/ /8/G/o/o/d/ /F/e/e/l/i/n/g/7/B/a/d/ /F/e/e/l/i/n/g/ /+/I/ /m/i/g/h/t/ /f/e/e/l/ /g/o/o/d/ /b/e/c/a/u/s/e/ /I/ /a/m/ /f/l/y/i/n/g/ /f/r/e/e/l/y/./-/ /*/I/ /d/o/ /n/o/t/ /k/n/o/w/ /b/e/c/a/u/s/e/ /I/ /a/m/ /n/o/t/ /a/ /c/o/m/p/l/e/t/e/ /b/i/r/d/./=/,"9/C/a/n/ /y/o/u/ /r/i/d/e/ /a/ /b/i/c/y/c/l/e/ /w/i/t/h/o/u/t/ /a/ /s/u/p/p/o/r/t/i/n/g/ /w/h/e/e/l/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /a/m/ /n/o/t/ /g/o/o/d/ /a/t/ /r/i/d/i/n/g/ /a/ /b/i/k/e/ /b/u/t/ /I/ /w/a/n/t/ /t/o/ /r/i/d/e/ /i/t/ /w/e/l/l/ /s/o/m/e/d/a/y/./-/ /*/M/e/ /t/o/o/./ /S/o/m/e/d/a/y/ /i/f/ /w/e/ /t/r/y/ /h/a/r/d/,/ /w/e/ /w/i/l/l/ /b/e/ /a/b/l/e/ /t/o/ /r/i/d/e/ /i/t/./=/",/S/i/n/c/e/ /t/h/i/s/ /m/o/m/e/n/t/ /o/f/ /l/i/f/e/ /i/s/ /n/e/v/e/r/ /c/o/m/i/n/g/ /b/a/c/k/././,/I/'/m/ /n/o/t/ /g/o/o/d/ /a/t/ /e/x/p/r/e/s/s/i/n/g/ /m/y/ /f/e/e/l/i/n/g/s/ /b/u/t/ /i/f/ /I/ /p/r/a/c/t/i/c/e/ /a/ /l/i/t/t/l/e/ /b/i/t/ /I/ /w/i/l/l/ /b/e/ /a/b/l/e/ /t/o/ /e/x/p/r/e/s/s/ /m/y/s/e/l/f/ /w/e/l/l/ /s/o/m/e/d/a/y/ /r/i/g/h/t/?/,/I/ /h/e/a/r/d/ /t/h/e/ /c/h/i/l/d/r/e/n/ /o/u/t/s/i/d/e/ /a/n/d/ /l/o/o/k/e/d/ /a/t/ /t/h/e/m/ /a/n/d/ /t/h/e/y/ /w/e/r/e/ /p/l/a/y/i/n/g/ /w/o/r/e/ /r/a/i/n/c/o/a/t/s/./ ///////T/h/e/y/ /l/o/o/k/e/d/ /h/a/p/p/y/./,/I/ /u/s/e/d/ /t/o/ /p/i/c/k/ /u/p/ /s/h/e/l/l/s/ /w/h/e/n/ /I/ /w/e/n/t/ /t/o/ /t/h/e/ /b/e/a/c/h/./ /I/ /c/o/u/l/d/ /f/e/e/l/ /a/ /s/e/n/s/e/ /o/f/ /w/a/v/e/s/'/ /s/o/u/n/d/ /w/h/e/n/ /I/ /p/u/t/ /i/t/ /o/n/ /m/y/ /e/a/r/./
75,,,,,9/D/o/ /y/o/u/ /o/f/t/e/n/ /c/l/e/a/n/ /u/p/?/ /8/ /Y/e/s/ / / / / / / / /7/ /N/o/ / / / / / / / / /+/I/ /t/h/i/n/k/ /i/t/ /i/s/ /a/ /g/o/o/d/ /h/a/b/i/t/./ /I/t/ /w/o/u/l/d/ /b/e/ /b/e/t/t/e/r/ /t/h/a/n/ /m/e/s/s/e/d/ /u/p/./-/ /*/L/a/s/t/ /t/i/m/e/ /I/ /h/a/d/ /c/l/e/a/n/e/d/ /u/p/ /b/u/t/ /I/ /h/a/v/e/n/'/t/ /d/o/n/e/ /i/t/ /y/e/t/./=/,9/W/h/e/r/e/ /w/o/u/l/d/ /I/ /g/o/ /i/f/ /I/ /t/r/a/v/e/l/ /s/o/m/e/w/h/e/r/e/?/ /8/ /M/o/u/n/t/a/i/n/ / / /7/ /S/e/a/ / / / / / / / /+/I/ /r/e/m/e/m/b/e/r/ /b/e/i/n/g/ /g/o/t/t/e/n/ /a/ /b/u/g/ /b/i/t/e/ /i/n/ /t/h/e/ /m/o/u/n/t/a/i/n/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/./-/ /*/I/ /w/a/n/t/ /t/o/ /g/o/ /t/o/ /t/h/e/ /s/e/a/./ /I/'/v/e/ /g/o/n/e/ /l/o/n/g/ /t/i/m/e/ /a/g/o/./=/,/U/n/t/i/l/ /t/h/e/ /d/a/y/ /w/h/e/n/ /t/h/e/ /d/r/i/z/z/l/e/ /i/n/ /m/y/ /m/i/n/d/ /s/e/e/s/ /t/h/e/ /c/l/e/a/r/ /s/k/y/./././s/o/m/e/d/a/y/,/I/ /u/s/e/d/ /t/o/ /h/a/t/e/ /d/o/i/n/g/ /a/n/y/t/h/i/n/g/ /b/u/t/ /I/ /h/a/v/e/ /n/o/t/ /t/h/o/u/g/h/t/ /l/i/k/e/ /t/h/a/t/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/./,/I/t/ /i/s/ /e/a/s/y/ /t/o/ /c/a/t/c/h/ /a/ /c/o/l/d/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /t/e/m/p/e/r/a/t/u/r/e/ /d/i/f/f/e/r/e/n/c/e/ /d/u/r/i/n/g/ /t/h/e/ /c/h/a/n/g/e/ /o/f/ /s/e/a/s/o/n/s/./ ///////S/o/ /a/l/w/a/y/s/ /t/a/k/e/ /c/a/r/e/ /o/f/ /y/o/u/r/s/e/l/f/./,/I/ /a/m/ /l/o/o/k/i/n/g/ /f/o/r/w/a/r/d/ /t/o/ /m/e/e/t/i/n/g/ /f/l/o/w/e/r/s/ /s/o/o/n/ /w/h/e/n/ /t/h/e/ /f/l/o/w/e/r/ /b/u/d/ /s/t/a/r/t/ /t/o/ /b/l/o/o/m/ /a/ /l/i/t/t/l/e/./
76,,,,,,,/I/ /c/o/m/e/ /u/p/ /w/i/t/h/ /a/ /c/h/i/l/d/ /w/h/o/ /h/u/n/g/ /o/u/t/ /w/i/t/h/ /m/e/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/./,/G/o/i/n/g/ /o/u/t/s/i/d/e/ /i/s/ /l/i/k/e/ /a/ /s/m/a/l/l/ /a/d/v/e/n/t/u/r/e/ ///////b/e/c/a/u/s/e/ /I/ /d/o/ /n/o/t/ /k/n/o/w/./,/H/e/a/l/t/h/ /i/s/ /i/m/p/o/r/t/a/n/t/ /f/o/r/ /d/o/i/n/g/ /s/o/m/e/t/h/i/n/g/./ /I/t/ /i/s/ /r/e/a/l/l/y/ /i/m/p/o/r/t/a/n/t/ /s/o///////.///////./ /I/ /w/a/n/t/ /y/o/u/ /t/o/ /r/e/m/e/m/b/e/r/ /i/t/./,/I/t/ /i/s/ /g/o/o/d/ /t/o/ /s/e/e/ /a/ /v/a/r/i/e/t/y/ /o/f/ /l/i/v/e/s/ /w/h/e/n/ /I/ /t/a/k/e/ /a/ /w/a/l/k/ /s/u/c/h/ /a/s/ /a/ /c/a/t/ /o/r/ /a/ /d/o/g/./
